Number,Name
1,visual
2,culture
3,naval
4,nature
5,tech
6,ethnology
7,architectonic
8,educative
9,art_museum
10,historic_museum
11,science
12,military
13,exhibitions artists
14,exp stories
15,historical collection
16,visual historical art
17,local history war
18,discovery anthropology
19,nature tech
20,castles cluster
21,historical
22,national speciality
23,art_galleries
24,historic_location
25,castles
26,churches
27,children
28,gardens
29,audiotour
30,exhibition
31,scavenger
32,library
33,openair
34,parking
35,weelchair
36,disabled
37,trainstation
38,restaurant
