,clientid,museum_id,museum_list,features
0,dzpvingfls,"['80a37d9f-37d1-466f-96c2-b65044666fbe', '3b3c0cbf-7176-4d16-bc60-89eeeb679a76', '30f51fcc-b373-4b85-9ba0-40d958542540', 'dc333343-ecdf-4502-a6b7-35b8ba5c1684', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '1f8bb764-3a9f-4159-b775-829e80c953a2', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', '9f88e8ae-c589-427e-becb-1e071b215cd1', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4']","['Kasteel Duivenvoorde', 'Kasteel Radboud', 'Kasteel Doornenburg', 'Kasteel Doorwerth', 'Kasteel Huis Bergh', 'Rijksmuseum Muiderslot', 'Kasteel Amerongen', 'Kasteel Keukenhof', 'Kasteel Hoensbroek', 'Kasteel Cannenburch']",['historical collection']
1,ewtmjnyfuq,"['044424ba-e4e7-4de8-b88c-ccaf14cf4c59', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', 'c5ad38ca-1303-43d2-adee-04bb0e3268f6', '23eaf7fc-a6ca-40a3-87c5-257dca174595', '424e8423-e43b-48e8-ad19-821014020860', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', 'e89e2757-e3e7-4d22-bba5-58f4164a0105', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '4b596778-4379-48da-a946-0d04e39e3cea']","['Honig Breethuis', 'Rijksmuseum Amsterdam', 'Stedelijk Museum Alkmaar', 'Nationaal Onderduikmuseum', 'Comenius Museum', 'Joods Historisch Museum', 'Universiteitsmuseum Groningen', 'Museum Staphorst', 'NEMO Science Museum', 'Museum Het Pakhuis']",['disabled']
2,awfmxhckvr,"['3b3c0cbf-7176-4d16-bc60-89eeeb679a76', 'dc333343-ecdf-4502-a6b7-35b8ba5c1684', '30f51fcc-b373-4b85-9ba0-40d958542540', '80a37d9f-37d1-466f-96c2-b65044666fbe', '9f88e8ae-c589-427e-becb-1e071b215cd1', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', 'c2219eac-c939-49f6-ba34-325d739caf9b', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe']","['Kasteel Radboud', 'Kasteel Doorwerth', 'Kasteel Doornenburg', 'Kasteel Duivenvoorde', 'Kasteel Keukenhof', 'Kasteel Amerongen', 'Kasteel Rosendael', 'Kasteel Hoensbroek', 'Kasteel Cannenburch', 'Kasteel Huis Bergh']",['castles']
3,ichagzmyfb,"['044424ba-e4e7-4de8-b88c-ccaf14cf4c59', '6add9957-7a8c-469f-83da-ff169b0f2050', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', '1e1dc984-631c-4c66-9ca3-b5b982fdff51', '1de93dee-f6b5-4a1c-8d7f-e896df26a694', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '6c17c8de-2dd0-4670-b55d-402b84e26787']","['Honig Breethuis', 'Louwman Museum', 'Museon', 'Veiligheidsmuseum PIT', 'Universiteitsmuseum Groningen', 'Beeld en Geluid Den Haag', 'Stoomtrein Katwijk Leiden', 'Literatuurmuseum', 'Joods Historisch Museum', 'Historisch Museum De Bevelanden']",['trainstation']
4,ecxstobnpz,"['783538c2-21d3-4a79-9830-01b9ae3812b9', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '86ce2124-88f3-4fce-b174-20b61d0bdaaa', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', 'f7d86ac9-4f08-4628-954b-0afec628135d', '1e1dc984-631c-4c66-9ca3-b5b982fdff51', 'bdd23118-7948-42bd-8421-36d9ec2e423b', '3f224a07-d3c3-4467-ab27-2d0f4d6705dc', '1de93dee-f6b5-4a1c-8d7f-e896df26a694', '798b12be-0127-4f41-91df-1a5e71af1e37']","['Design Museum Den Bosch', 'Joods Historisch Museum', 'Stadskasteel Zaltbommel', 'Beeld en Geluid Den Haag', 'Huis van Hilde', 'Stoomtrein Katwijk Leiden', 'Nationaal Archief', 'Openluchtmuseum en Themapark De Spitkeet', 'Literatuurmuseum', 'De Looierij']",['educative']
5,wnjugqmdtk,"['d1e42c4d-d176-4833-98a8-a3fb4a725b91', 'c5ad38ca-1303-43d2-adee-04bb0e3268f6', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '4b596778-4379-48da-a946-0d04e39e3cea', '23eaf7fc-a6ca-40a3-87c5-257dca174595', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '424e8423-e43b-48e8-ad19-821014020860', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', 'a8d715f7-82f5-4df4-9308-0d33c4c1eaa2', '832cd1d6-c933-4279-8ae6-1e3fa38853a2']","['Museumpark Archeon', 'Stedelijk Museum Alkmaar', 'Rijksmuseum Amsterdam', 'Museum Het Pakhuis', 'Nationaal Onderduikmuseum', 'Joods Historisch Museum', 'Comenius Museum', 'Universiteitsmuseum Groningen', 'Koninklijk Paleis Amsterdam', 'Museum de Kantfabriek']",['disabled']
6,dxbhgncjpq,"['9dd3fd7c-9281-4e0b-a661-909e597b93ee', 'd960438f-902d-4c22-820a-383d5992d467', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '77dc3244-2ab9-4340-bb76-d29401097a09', '8fae9e9b-5c62-477b-9ccc-d9d3ec1d695c', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '1335f2de-05b0-4351-8cae-1cb1263b3791', '92f68db4-1a4e-4847-990b-9710c4696e9a', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', '971a3945-faba-4021-8d5b-5b6fcd124640']","['Museum Rotterdam', 'Forteiland Pampus', 'Belasting & Douane Museum', 'Museum Kaap Skil', 'Nederlands Zilvermuseum', 'Veiligheidsmuseum PIT', 'Het Scheepvaartmuseum', 'Beeld en Geluid', 'Museum Speelklok', 'Zuiderzeemuseum']",['visual historical art']
7,flsdqhimgb,"['937d7d96-ccc0-4131-b26a-b37969c68770', '471dcd8a-6a1b-44aa-b073-0f024f72dde3', '2aab8e4a-58db-4bf4-afe8-06a444b8e56c', '60dcdaf1-a16f-4a63-877b-1734d0e74d8d', '1259b27a-48fb-48d4-adbb-31329be57921', '7e8f969b-8f8b-4950-8028-f80b4a19c0db', 'aa54b14e-fe16-4424-9be9-ca9d8ef84fa7', '2fc39c27-ca42-462c-b8a5-6b8fdb927961', '890092e9-15a8-431f-ad8b-2e8c0b4a1377', '179e0120-23f9-434b-804b-172effcfc85d']","['Singer Laren', 'Rijksmuseum Twenthe', 'Keramiekmuseum Princessehof', 'Kunstmuseum Den Haag', 'Stadsmuseum Harderwijk', 'Museum Krona', 'Van Gogh Museum', 'Van Abbemuseum', 'Museum Abdijkerk', 'De Nieuwe Kerk']",['churches']
8,kxfmsoilwc,"['a2c1a9f7-97b2-493a-a04c-a760d4066ba9', '30f51fcc-b373-4b85-9ba0-40d958542540', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', 'dc333343-ecdf-4502-a6b7-35b8ba5c1684', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', '3b3c0cbf-7176-4d16-bc60-89eeeb679a76', '9f88e8ae-c589-427e-becb-1e071b215cd1', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '9afcd6a2-85e3-4c7c-9f82-887076f83a68', '4f05881b-f742-480c-b13d-91d99c6fc4a2']","['Museum van de Geest | Dolhuys', 'Kasteel Doornenburg', 'Kasteel Cannenburch', 'Kasteel Doorwerth', 'Kasteel Hoensbroek', 'Kasteel Radboud', 'Kasteel Keukenhof', 'Kasteel Huis Bergh', 'Slot Loevestein', 'Veenkoloniaal Museum']",['restaurant']
9,lwbapnqrev,"['c96d0dd3-36c3-4b3c-b3ea-d11ca9840207', 'c4cc477e-1442-4ef9-96ea-539e46356b07', 'aa54b14e-fe16-4424-9be9-ca9d8ef84fa7', '51f2f922-3ec1-4a76-aa53-703e88dd7056', 'ad5b634c-e784-4755-ae75-8748507fa437', '5adfb94f-9e56-40b1-a93e-766264de3f02', '424e8423-e43b-48e8-ad19-821014020860', '60780e37-d503-4b56-b1d5-a46c2358eb41', '33fdc6ef-026e-4a2d-afc1-8b56f1ed6a08', '3d1a28ab-20dd-4d49-a6c1-23f504ec9472']","['Museum De Zwarte Tulp', 'Louis Couperus Museum', 'Van Gogh Museum', 'Panorama Mesdag', 'Museum Bronbeek', 'Zwanenbroedershuis', 'Comenius Museum', 'Streekmuseum Etten Leur', 'Museum Volkenkunde', 'Tropenmuseum']",['national speciality']
