,clientid,museum_id,museum_list,features
0,wmrhsnpcty,"['43342fe3-e57f-4b74-883f-207d1cf0a24b', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', '4cb403ef-21c9-4731-86a2-f9f32bd44487', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'd1e42c4d-d176-4833-98a8-a3fb4a725b91']","['De Bastei', 'NEMO Science Museum', 'Museum Speelklok', 'Brabants Museum Oud Oosterhout', 'PreHistorisch Dorp', 'Zeeuws Maritiem MuZEEum', 'Belasting & Douane Museum', 'Veiligheidsmuseum PIT', 'Natuurmuseum Fryslân', 'Museumpark Archeon']","['exhibitions artists', 'children']"
1,otswzkfgir,"['9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '9bcb7330-2cae-44b4-9fca-9f6e1c4501e5', '1a918684-33d5-485a-80b7-90a8086803ef', 'd6dceab9-27ce-41aa-9be2-9e5189ba51f0', '1cf7d97e-57d6-4550-be98-8d19ea5ac3a5', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'a001e606-6873-4420-92be-8c458691bf35', 'd393d962-7ee9-411b-8c60-c0879d6e3fd7', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', 'd183dcdd-900b-4721-b8a0-c44912e8ce7f']","['Streek & Landbouwmuseum Goemanszorg', 'Natuurcentrum Ameland', 'Buitenplaats Kasteel Wijlre', 'Muzeeaquarium Delfzijl', 'Pieter Vermeulen Museum', 'Natuurmuseum Fryslân', 'Natuurmuseum Brabant', 'Micropia', 'Museon', 'Fruitteeltmuseum']","['weelchair', 'gardens']"
2,xeaomtgzfq,"['17aed04d-9186-4452-b263-0de3dfe7f6f2', '59402691-8308-4222-bc19-7cc9f20e1d88', '80a37d9f-37d1-466f-96c2-b65044666fbe', 'dc333343-ecdf-4502-a6b7-35b8ba5c1684', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '30f51fcc-b373-4b85-9ba0-40d958542540', '1f8bb764-3a9f-4159-b775-829e80c953a2', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', 'd0bf039f-cc00-4511-bb91-94ac191a3c67']","['Slot Zuylen', 'Kasteel Heeswijk', 'Kasteel Duivenvoorde', 'Kasteel Doorwerth', 'Kasteel Huis Bergh', 'Kasteel Doornenburg', 'Rijksmuseum Muiderslot', 'Kasteel Amerongen', 'Kasteel Cannenburch', 'Kasteel Hoensbroek']","['historical collection', 'restaurant']"
3,ktigyaqesm,"['d6dceab9-27ce-41aa-9be2-9e5189ba51f0', 'dffe8ae8-e39f-49d2-a41b-004775a406a8', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '9231914a-1dac-4afe-b28a-cc37ee7c5bfd', 'b95305d9-cc57-498c-8819-c1983713d181', 'fb5c119f-f4a1-411c-a943-f609fcb5f5f3', '7b4c1d7c-477e-4343-bf11-01cdda92312f', '6add9957-7a8c-469f-83da-ff169b0f2050', '60780e37-d503-4b56-b1d5-a46c2358eb41', '5ea552c8-0db1-4e75-b6b0-d5b5933a5f2f']","['Muzeeaquarium Delfzijl', 'Portugese Synagoge Amsterdam', 'Joods Historisch Museum', 'Streek & Landbouwmuseum Goemanszorg', 'Keramiekcentrum Tiendschuur Tegelen', 'Museum Swaensteyn', 'Museum van de 20e Eeuw', 'Louwman Museum', 'Streekmuseum Etten Leur', 'Limburgs Museum']","['culture', 'weelchair']"
4,faetrcohgd,"['9ad52af8-ef66-4266-b413-0e1a57995f50', '2315fd34-5472-443f-a6ee-29751ccc8a51', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '7a2966b5-97fa-4cd3-9408-9e415182ca4e', '1335f2de-05b0-4351-8cae-1cb1263b3791', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', 'f61643e5-0237-4536-90ef-d3e8f721de21', '971a3945-faba-4021-8d5b-5b6fcd124640', '77dc3244-2ab9-4340-bb76-d29401097a09', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1']","['Nationaal Reddingmuseum Dorus Rijkers', 'Nationaal Sleepvaart Museum', 'Belasting & Douane Museum', 'Batavialand', 'Het Scheepvaartmuseum', 'Mariniersmuseum', 'Biesbosch MuseumEiland', 'Zuiderzeemuseum', 'Museum Kaap Skil', 'Zeeuws Maritiem MuZEEum']","['exhibition', 'naval']"
5,ftuilqobhv,"['6ed658b1-4ce7-4df9-9472-4b0271d044a3', 'c40020e4-d23b-4607-9145-7aa020866c04', 'bff4bba9-6f13-4a2a-ab4c-47a3946f61dd', 'ebd8da56-bf8c-4233-9adb-792ddd85452c', '90ebf3e8-d8ee-4b3b-9e62-3a17130bf3bf', '179e0120-23f9-434b-804b-172effcfc85d', '64669da3-83b4-421d-a306-4f0c6669d7db', 'eba73114-b030-49d1-9108-e60ea8670b3a', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', 'd579493e-5364-4327-b712-d231508db640']","['Allard Pierson', ""Huygens' Hofwijck"", 'Tassenmuseum Amsterdam', 'Stadsarchief Amsterdam', ""Museum Ons' Lieve Heer op Solder"", 'De Nieuwe Kerk', 'Grachtenmuseum Amsterdam', 'Museum Het Schip', 'Amsterdam Museum', 'Portrait Gallery of the 17th Century']","['historical', 'restaurant']"
6,svzkmbwtqh,"['04f3f792-3b2e-4c9a-af48-584f4dd61bfe', 'b0654f59-55d5-4c74-8420-3d3938f861e2', '1f8bb764-3a9f-4159-b775-829e80c953a2', 'b67b0651-df2f-48c8-9793-1024a0c9901e', 'c2219eac-c939-49f6-ba34-325d739caf9b', '9c4bddf8-9bef-46cb-a2ef-5f13ba85884f', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', '1e3aaa11-c04f-43bd-9707-58401ee41056', '9afcd6a2-85e3-4c7c-9f82-887076f83a68']","['Kasteel Huis Bergh', 'Botanische Tuin De Kruidhof', 'Rijksmuseum Muiderslot', 'Kasteel de Haar', 'Kasteel Rosendael', 'Nederlands Watermuseum', 'Kasteel Cannenburch', 'Kasteel Hoensbroek', 'Hunebedcentrum', 'Slot Loevestein']","['restaurant', 'culture']"
7,ehpdgblfqy,"['9dd3fd7c-9281-4e0b-a661-909e597b93ee', 'c4cc477e-1442-4ef9-96ea-539e46356b07', '60780e37-d503-4b56-b1d5-a46c2358eb41', '689733f3-0f0a-411d-b5b4-a33dd39639f0', '778fb79a-2b1c-4696-8909-018dee25142a', 'abaad182-4619-449e-96a5-4583f8701299', '944a4c15-58c0-44dc-8f8a-c65b44179c16', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', '621c0554-f8d1-454c-9218-e60683a536ee', '832cd1d6-c933-4279-8ae6-1e3fa38853a2']","['Museum Rotterdam', 'Louis Couperus Museum', 'Streekmuseum Etten Leur', 'Museum Weesp', 'Huizer Museum', ""Museum 'De Tien Malen'"", 'Missiemuseum Steyl', 'Universiteitsmuseum Groningen', 'mij | museum ijsselstein', 'Museum de Kantfabriek']","['historic_museum', 'trainstation']"
8,twonjipylb,"['2dc0d96e-fbe8-41de-b1db-36094539f0ce', '05a94d26-c8df-4105-8df5-67f1acd7e8c5', '1de93dee-f6b5-4a1c-8d7f-e896df26a694', 'cc12b367-a374-4c8a-bd04-8b24e412af3c', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', 'ddc06b8b-9dd1-4768-be15-75477b0f104a', '630f0ad9-d790-4a77-a847-e7acb31be6d8', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2']","['Libertum', 'Museum Schokland', 'Literatuurmuseum', 'Nederlands Openluchtmuseum', 'Belasting & Douane Museum', 'Spoorwegmuseum', 'De Hollandsche Manege', 'Honig Breethuis', 'Museum Huis Doorn', 'Kamp Westerbork']","['culture', 'discovery anthropology']"
9,fprtgkbajv,"['1335f2de-05b0-4351-8cae-1cb1263b3791', 'ba678427-5609-42b1-91e2-fd5c845d42c6', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '02f0dab3-4ee5-4c38-a0b8-ae02ed4b06b3', '9afcd6a2-85e3-4c7c-9f82-887076f83a68', 'c40020e4-d23b-4607-9145-7aa020866c04', 'dc084656-3e15-4519-9412-4753da0bc11b', '86530fe9-05f8-4d04-8aae-1a59202425e8', '1a918684-33d5-485a-80b7-90a8086803ef', 'cc12b367-a374-4c8a-bd04-8b24e412af3c']","['Het Scheepvaartmuseum', 'Historische Tuin Aalsmeer', 'PreHistorisch Dorp', 'Botanische Tuinen Utrecht', 'Slot Loevestein', ""Huygens' Hofwijck"", 'Museumpark Orientalis', 'Feyenoord Museum', 'Buitenplaats Kasteel Wijlre', 'Nederlands Openluchtmuseum']","['openair', 'visual']"
