,clientid,museum_id,museum_list,features
0,xrtluezwky,"['7a2966b5-97fa-4cd3-9408-9e415182ca4e', 'f64adebc-d16c-4e0d-8c2a-ab0e2f0f28ba', 'a2c1a9f7-97b2-493a-a04c-a760d4066ba9', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '1335f2de-05b0-4351-8cae-1cb1263b3791', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59', '971a3945-faba-4021-8d5b-5b6fcd124640', '46f074e4-5e2b-46f4-a279-85a0ae2c0026']","['Batavialand', 'Rijksmuseum Boerhaave', 'Museum van de Geest | Dolhuys', 'Belasting & Douane Museum', 'Zeeuws Maritiem MuZEEum', 'Het Scheepvaartmuseum', 'Mariniersmuseum', 'Honig Breethuis', 'Zuiderzeemuseum', ""Museum In 't Houten Huis""]","['restaurant', 'exp stories', 'naval']"
1,oiephqdnwc,"['cb0ac5e1-e2e8-429e-9b48-54414bf84d2b', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '92652b8f-7600-4bee-8640-1c40b21a32cf', '39602e5d-e0c7-4304-aa89-ba9d234d12fa', 'f7e3d4b2-ae53-41c5-aa79-cfa323796de7', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2', 'cda45f48-2deb-4062-bd6f-ad4da92c8114', '832cd1d6-c933-4279-8ae6-1e3fa38853a2', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', '630f0ad9-d790-4a77-a847-e7acb31be6d8']","['Museum van de Geest | Outsider Art', 'NEMO Science Museum', 'Museum Van Loon', 'Het Cuypershuis', 'Paviljoen Nederland en WOI', 'Kamp Westerbork', 'Museummolen en molenwinkel De Walvisch', 'Museum de Kantfabriek', 'Museum Huis Doorn', 'De Hollandsche Manege']","['discovery anthropology', 'historic_location', 'disabled']"
2,yntuvlbcka,"['7810d0eb-0034-457b-9cf7-ae7aa21e104f', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59', '424e8423-e43b-48e8-ad19-821014020860', '23eaf7fc-a6ca-40a3-87c5-257dca174595', '39b0a7b4-6bf6-4c5d-a29a-0e4266055be1', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', 'd1e42c4d-d176-4833-98a8-a3fb4a725b91', '4b596778-4379-48da-a946-0d04e39e3cea', 'e9ad0209-89ad-4e53-a353-b7328562f8e6']","['Rijksmuseum Amsterdam', 'NEMO Science Museum', 'Honig Breethuis', 'Comenius Museum', 'Nationaal Onderduikmuseum', 'Museum De Waag', 'Joods Historisch Museum', 'Museumpark Archeon', 'Museum Het Pakhuis', 'Universiteitsmuseum Groningen']","['historic_museum', 'disabled', 'nature tech']"
3,qzgsjbdahl,"['4981f5e2-5430-48aa-a8e0-726868672a4d', 'be9f0da1-1fde-448d-845a-cd231dac8c3e', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', '9967b239-a72b-4ad5-9215-c6383b7229d7', '621c0554-f8d1-454c-9218-e60683a536ee', '832cd1d6-c933-4279-8ae6-1e3fa38853a2', '4b596778-4379-48da-a946-0d04e39e3cea', '944a4c15-58c0-44dc-8f8a-c65b44179c16', '1e3aaa11-c04f-43bd-9707-58401ee41056', 'e9ad0209-89ad-4e53-a353-b7328562f8e6']","['Museum Valkenburg', 'Leudal Museum', 'Museon', 'Miramar Zeemuseum', 'mij | museum ijsselstein', 'Museum de Kantfabriek', 'Museum Het Pakhuis', 'Missiemuseum Steyl', 'Hunebedcentrum', 'Universiteitsmuseum Groningen']","['exhibition', 'nature tech', 'parking']"
4,xqgihojvdu,"['029464f3-265b-4b69-a71d-cdd346b53c34', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'f9453fa1-3fe4-4c3e-a980-174ddae906fc', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', '33fdc6ef-026e-4a2d-afc1-8b56f1ed6a08', '60780e37-d503-4b56-b1d5-a46c2358eb41', 'dffe8ae8-e39f-49d2-a41b-004775a406a8', '98bfd0ed-dbf9-4d89-ae77-bba0a13ce4d0', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '5ebaa739-b1a4-443b-9cde-6c0b18e81607']","['Tropenmuseum Junior', 'Veiligheidsmuseum PIT', 'Embassy of the Free Mind', 'Wereldmuseum Rotterdam', 'Museum Volkenkunde', 'Streekmuseum Etten Leur', 'Portugese Synagoge Amsterdam', 'Humanity House', 'Joods Historisch Museum', 'Museon']","['library', 'scavenger', 'ethnology']"
5,gikysqjxow,"['39c0d207-7edc-4e51-82bb-e0d0da3576d4', 'd0077c9a-8102-4749-ba85-fe2e8b3ef53d', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '6d4868c9-74a6-41f4-8c23-cabe36c82361', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1']","['Stadhuismuseum Zierikzee', 'GeoFort', 'NEMO Science Museum', 'PreHistorisch Dorp', 'Nationaal Onderwijsmuseum', 'Natuurmuseum Fryslân', 'Beeld en Geluid Den Haag', 'Museum Speelklok', 'Veiligheidsmuseum PIT', 'Zeeuws Maritiem MuZEEum']","['scavenger', 'discovery anthropology', 'tech']"
6,lzxuehvtsc,"['3caa2392-510f-4c85-a489-b83e8200ff90', '9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '95a74653-495e-4420-82e0-a1a6195f974d', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '1335f2de-05b0-4351-8cae-1cb1263b3791', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'a2040f47-849b-4ca6-967e-adee1ee5a930', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', '7810d0eb-0034-457b-9cf7-ae7aa21e104f']","['Luchtvaartmuseum Aviodrome', 'Streek & Landbouwmuseum Goemanszorg', 'Museum De Lakenhal', 'Zeeuws Maritiem MuZEEum', 'Het Scheepvaartmuseum', 'Veiligheidsmuseum PIT', 'TextielMuseum', 'Belasting & Douane Museum', 'Museon', 'Rijksmuseum Amsterdam']","['exhibition', 'culture', 'parking']"
7,ypfrvmogze,"['9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '9bcb7330-2cae-44b4-9fca-9f6e1c4501e5', '1a918684-33d5-485a-80b7-90a8086803ef', 'd6dceab9-27ce-41aa-9be2-9e5189ba51f0', '1cf7d97e-57d6-4550-be98-8d19ea5ac3a5', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'a001e606-6873-4420-92be-8c458691bf35', 'd393d962-7ee9-411b-8c60-c0879d6e3fd7', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', 'd183dcdd-900b-4721-b8a0-c44912e8ce7f']","['Streek & Landbouwmuseum Goemanszorg', 'Natuurcentrum Ameland', 'Buitenplaats Kasteel Wijlre', 'Muzeeaquarium Delfzijl', 'Pieter Vermeulen Museum', 'Natuurmuseum Fryslân', 'Natuurmuseum Brabant', 'Micropia', 'Museon', 'Fruitteeltmuseum']","['parking', 'gardens', 'exp stories']"
8,kuerojcvza,"['424e8423-e43b-48e8-ad19-821014020860', 'e89e2757-e3e7-4d22-bba5-58f4164a0105', '23eaf7fc-a6ca-40a3-87c5-257dca174595', 'c5ad38ca-1303-43d2-adee-04bb0e3268f6', '01ab8bee-401f-4c85-a742-c2198fbcef28', '179e0120-23f9-434b-804b-172effcfc85d', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', 'e9ad0209-89ad-4e53-a353-b7328562f8e6', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59']","['Comenius Museum', 'Museum Staphorst', 'Nationaal Onderduikmuseum', 'Stedelijk Museum Alkmaar', 'Stedelijk Museum Amsterdam', 'De Nieuwe Kerk', 'Rijksmuseum Amsterdam', 'Joods Historisch Museum', 'Universiteitsmuseum Groningen', 'Honig Breethuis']","['disabled', 'discovery anthropology', 'exhibition']"
9,ymixqdruev,"['39c0d207-7edc-4e51-82bb-e0d0da3576d4', 'd0077c9a-8102-4749-ba85-fe2e8b3ef53d', '095343bc-bce6-4c73-a7b2-01a75c9b2efa', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '6d4868c9-74a6-41f4-8c23-cabe36c82361', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1']","['Stadhuismuseum Zierikzee', 'GeoFort', 'NEMO Science Museum', 'PreHistorisch Dorp', 'Nationaal Onderwijsmuseum', 'Natuurmuseum Fryslân', 'Beeld en Geluid Den Haag', 'Museum Speelklok', 'Veiligheidsmuseum PIT', 'Zeeuws Maritiem MuZEEum']","['discovery anthropology', 'scavenger', 'tech']"
