,translationSetId,vector
0,00965172-fde6-42f1-8dae-116cae5ec572,"[0 11 20 9 21 21 16 7 12 9 9 15 11 15 16 19 13 12 11 19 13 23 16 11 9 18
 17 14 18 12 16 13 15 9 14 19 23 12 14 13 15 14 9 12 13 9 19 11 21 19 14
 16 17 11 12 14 14 22 14 18 14 16 12 9 13 12 14 9 12 13 11 9 26 16 9 12 16
 16 7 9 16 14 14 12 19 16 15 14 19 12 13 16 14 19 18 14 13 9 14 17 16 11
 14 16 17 17 10 18 9 11 21 12 14 14 11 23 9 21 14 13 12 18 21 7 18 14 9 9
 16 18 18 9 21 12 20 11 19 12 13 11 14 11 18 17 12 11 15 16 9 18 9 14 12
 18 14 13 12 7 16 14 21 21 13 14 14 13 7 16 16 18 12 21 9 16 14 13 14 9 15
 9 14 9 12 18 12 7 16 12 9 25 16 15 15 10 16 18 12 11 14 14 12 11 9 12 11
 15 17 23 22 26 9 14 9 15 9 13 14 12 12 17 12 18 9 25 9 12 9 13 14 11 9 18
 14 18 15 18 18 12 9 20 12 15 22 7 21 12 17 9 16 14 9 13 13 16 10 14 9 21
 9 13 14 11 18 18 9 9 7 14 18 11 11 12 11 18 7 7 9 14 15 7 17 11 15 19 18
 14 9 16 9 16 14 12 18 14 9 9 23 12 18 23 13 9 12 12 7 18 12 16 14 15 9 16
 18 13 9 16 14 13 14 18 19 13 14 9 12 9 7 13 9 14 11 21 14 15 7 21 19 18
 13 16 24 14 17 18 16 10 17 18 9 7 18 11 13 17 11 14 14 21 12 15 16 12 9
 16 9 12 19 11 15 18 17 14 14 7 9 12 12 26 9 13 18 16 9 14 7 9 9 13 16 11
 17 22 19 15 20 17 9 25 18 9 9 12 18 12 12 21 13 18 7 23 12 24 18 12 11 16
 25 15 13 9 9 9 13 7 11 18 11 13 9 18 18 11 9 12 11 15 14 11 18 11 11 14
 15 13 18 22 11 14 10 25 12 9 9 11 12 12 16 9 14 11 13 13 15 18 11 12 14
 16 26 16 25 11 9 9 16 16 23 10 12 15 18 10 24 25 7 11 16 14 9 15 9 16 11
 9 9 23 19 11 11 12 15 16 13 9 17]"
1,00aa87d7-6034-4283-9a4c-3b9589c30fb4,"[10 0 11 8 8 10 8 6 8 10 13 12 15 10 10 10 11 8 13 10 8 13 10 12 8 10 10
 10 15 10 11 8 13 8 15 10 10 11 8 8 6 8 11 8 13 10 12 13 8 11 34 12 10 15
 8 13 8 13 10 10 12 10 8 8 10 8 12 8 10 13 6 8 12 10 8 8 12 10 11 10 15 10
 15 8 8 8 10 13 38 8 11 10 11 11 13 8 10 8 10 8 8 12 12 11 10 10 8 13 10
 12 13 11 10 8 13 12 13 10 15 10 11 12 8 9 13 15 10 13 12 12 10 10 8 36 12
 13 12 10 10 13 10 12 15 10 8 15 15 8 10 13 8 10 8 12 15 8 13 6 10 12 13
 10 10 10 10 11 37 11 13 13 8 10 13 8 15 13 12 10 15 13 8 10 13 10 11 8 11
 8 10 13 10 12 10 6 12 13 36 13 8 15 10 8 13 10 13 13 8 13 13 12 11 10 10
 12 8 10 41 10 13 8 10 8 8 13 13 10 8 10 8 13 8 13 13 12 10 15 39 11 8 12
 11 39 12 9 8 9 6 13 11 15 8 11 8 10 6 10 11 13 10 10 41 15 13 15 10 11 9
 13 13 13 13 13 13 15 11 8 13 10 15 11 8 38 15 15 13 10 8 11 11 10 13 10
 10 11 10 8 15 6 41 10 13 8 8 8 8 10 10 10 10 39 11 12 10 13 11 8 10 11 13
 15 13 13 15 8 36 34 6 10 11 8 12 8 12 12 11 10 11 13 13 13 8 10 10 15 10
 8 11 12 13 8 15 12 8 36 12 12 10 13 8 10 8 8 8 12 11 8 10 15 13 12 8 10
 10 8 10 8 10 12 8 11 15 8 11 10 6 13 37 8 10 12 13 13 12 13 13 10 8 13 13
 10 8 13 15 8 10 15 11 12 9 12 10 13 13 8 10 13 13 10 10 10 8 10 8 8 13 15
 12 8 10 10 15 11 13 13 12 13 15 8 10 10 12 8 12 10 12 13 12 12 37 13 10
 10 11 15 8 8 10 8 15 13 8 8 15 10 15 8 8 10 13 8 15 12 8 8 10 12 41 8 8
 10 10 8 13 13 6 8 13 10 10 10 8 10 10 11 10 10 10 15 12 10 10 8 10 13 36]"
2,01ab8bee-401f-4c85-a742-c2198fbcef28,"[21 13 0 8 14 20 15 8 8 31 13 14 13 17 15 15 25 8 16 23 40 20 12 10 11 14
 11 10 20 13 17 14 17 11 21 10 17 14 11 15 11 11 13 8 43 8 10 21 20 26 11
 10 8 13 8 16 8 27 13 17 33 15 8 11 15 10 13 8 8 28 12 11 17 15 11 8 36 13
 14 11 16 8 21 10 15 18 14 21 13 8 15 15 16 29 28 13 12 8 8 8 17 13 10 21
 8 10 8 28 11 10 28 11 13 8 39 43 13 15 13 12 11 17 14 11 20 21 8 13 10 17
 17 10 15 16 17 21 36 8 17 16 10 13 17 11 8 24 17 15 11 17 36 11 8 17 21
 15 11 11 15 13 20 17 17 10 11 25 19 25 13 17 8 15 14 15 16 15 10 31 20 11
 8 8 11 14 36 8 28 8 8 24 17 17 14 11 13 28 8 36 11 24 8 12 24 8 21 20 8
 20 32 20 24 10 11 17 8 12 13 10 19 8 8 17 8 35 19 8 8 14 8 13 8 23 14 17
 14 51 17 14 8 14 11 20 24 19 17 11 15 14 18 16 8 25 12 13 11 34 11 28 8
 12 13 13 28 23 8 21 14 16 23 13 13 22 21 20 11 8 13 8 20 11 8 10 17 13 20
 10 11 20 13 20 24 11 12 18 8 8 17 8 17 21 25 8 11 11 8 14 11 12 13 28 11
 13 17 15 19 17 21 25 13 20 28 15 16 8 8 18 8 12 11 8 10 17 10 17 37 20 20
 28 17 18 15 10 11 20 13 34 11 17 11 16 23 10 12 10 13 18 10 23 8 14 23 8
 11 13 11 8 10 16 17 20 8 11 8 8 8 10 8 17 10 17 17 12 13 8 19 16 11 12 12
 10 11 32 13 25 58 10 10 27 23 11 8 11 23 21 8 23 17 20 11 14 8 21 28 8 18
 15 27 14 12 13 8 8 38 8 16 25 10 15 8 20 25 26 11 11 13 28 13 12 17 10 10
 15 17 12 17 32 18 10 14 27 8 8 13 13 11 8 36 8 39 21 12 12 20 14 13 8 11
 15 20 12 27 10 8 8 10 13 43 8 8 17 14 8 23 32 8 15 13 13 10 14 8 12 10 21
 10 17 13 16 10 8 17 25 23 13 8]"
3,01eda7b1-8ad2-4762-973e-7666d557ef73,"[5 5 3 0 3 5 5 3 5 5 13 5 5 15 5 5 3 5 5 5 3 5 5 5 5 5 5 3 5 3 3 3 5 5 5 5
 5 3 5 5 13 5 3 3 3 5 5 5 3 5 5 5 15 5 3 5 15 5 5 5 5 5 5 5 5 13 15 5 5 3
 3 5 5 5 5 5 5 5 3 5 5 5 5 3 5 5 5 5 5 5 5 5 3 5 5 3 5 5 5 15 3 5 15 5 5 3
 3 5 15 5 5 3 5 15 5 5 3 5 5 5 15 5 3 3 5 15 5 3 5 5 5 3 5 5 5 5 5 15 3 5
 5 5 5 5 5 15 5 5 15 3 13 5 3 5 5 5 5 3 5 5 5 5 3 5 5 3 3 3 5 5 5 5 5 5 5
 5 5 5 5 5 5 5 5 5 3 3 3 13 5 5 3 5 5 3 5 5 5 5 15 15 5 3 3 5 5 5 5 5 5 5
 3 5 5 5 15 5 5 3 5 15 5 3 5 5 5 5 5 3 15 5 5 5 15 5 5 5 5 5 5 5 3 5 5 3 3
 3 3 5 5 5 5 3 5 15 3 15 5 5 5 5 5 15 5 5 5 3 13 3 5 5 5 15 5 5 13 3 3 5 5
 3 5 5 5 5 5 5 15 3 3 3 5 5 15 3 5 5 5 3 5 3 3 5 15 5 3 5 5 5 5 5 15 5 5 5
 5 3 5 3 5 5 3 5 5 5 5 3 13 5 5 5 5 3 5 15 3 3 3 5 3 5 5 5 15 5 5 3 5 5 5
 3 5 15 5 3 5 15 5 5 5 15 5 5 5 5 5 5 5 5 5 5 5 5 5 3 5 3 15 5 3 13 5 5 3
 5 3 3 5 5 5 5 5 5 5 5 3 3 3 5 5 5 5 5 5 13 5 5 3 5 3 5 5 5 5 5 5 5 3 5 5
 3 5 5 15 3 5 5 5 5 5 5 5 3 5 5 5 5 5 3 5 5 5 3 5 5 5 5 15 5 3 5 5 5 3 15
 5 5 15 5 15 5 5 15 5 5 5 5 5 5 5 5 5 15 5 5 5 5 5 3 5 5 5 3 3 5 3 3 5 5 3
 5 5 5 5 3 13 5 5 5 5 5 5 13 5 3 5]"
4,029464f3-265b-4b69-a71d-cdd346b53c34,"[21 9 13 7 0 12 14 7 22 7 9 13 9 13 14 10 13 10 9 10 13 14 14 21 7 16 15
 14 9 12 16 25 13 7 12 17 21 38 24 11 15 12 9 12 13 7 17 9 14 10 12 14 15
 9 12 12 12 13 12 16 12 14 10 7 23 12 12 19 10 13 11 7 17 14 19 10 14 14 7
 7 26 12 12 12 10 7 13 12 17 10 37 14 14 10 16 14 11 7 12 15 54 21 12 7 15
 17 36 9 7 9 12 12 12 12 9 14 9 12 12 11 10 16 59 7 9 12 7 9 14 9 16 9 12
 10 18 9 29 10 13 9 12 9 16 15 10 9 13 14 7 18 9 12 12 9 12 11 22 7 7 12
 12 12 13 12 12 25 7 16 26 16 22 19 7 14 12 11 12 7 13 7 12 7 10 16 12 19
 9 12 7 16 42 39 13 10 52 16 10 9 12 12 10 11 9 22 21 25 15 21 13 17 9 12
 7 13 7 11 12 12 10 15 10 18 7 16 7 22 7 13 12 9 7 9 12 9 13 16 16 10 7 18
 12 13 13 7 14 12 10 7 26 12 7 13 11 14 10 12 7 12 7 11 12 9 9 9 7 9 7 14
 9 9 9 10 9 16 7 7 9 12 13 7 15 9 13 17 16 12 33 16 9 9 12 10 42 7 19 7 21
 12 16 16 39 7 10 10 33 16 10 14 12 13 7 14 16 11 7 16 12 25 12 16 12 11
 12 7 10 9 7 11 7 12 9 21 12 13 7 14 12 28 13 7 15 12 15 9 14 10 15 28 7
 33 9 9 11 17 9 12 12 12 10 39 7 22 19 14 7 22 17 9 13 9 15 24 12 7 19 12
 10 17 9 13 16 14 9 12 7 9 7 11 14 9 15 13 29 13 13 17 9 16 9 7 7 22 9 12
 22 12 13 9 7 21 10 15 9 22 9 14 18 13 11 9 7 7 11 7 9 42 9 11 7 9 16 11 7
 10 9 13 12 11 16 9 9 7 25 11 16 13 9 24 36 16 10 7 9 9 10 10 14 7 12 21
 11 11 13 16 21 10 24 14 17 14 16 9 7 7 14 14 47 10 22 13 16 10 17 16 7 11
 14 12 35 13 7 14 9 9 9 14 17 9 9 22 13 16 23 9 15]"
5,02d25c0f-f4db-4d00-a056-c35ee076964e,"[22 12 20 10 13 0 16 8 13 16 10 12 12 15 16 20 10 13 21 20 13 19 13 12 19
 15 16 10 19 22 13 10 18 30 15 15 41 11 19 13 14 13 16 14 13 10 15 12 20
 20 19 12 13 18 8 18 10 28 18 18 15 22 13 13 13 13 18 27 13 19 8 13 22 16
 13 30 15 15 11 13 15 10 15 13 20 20 18 15 18 30 10 16 13 29 18 19 10 10
 10 13 16 15 15 26 13 13 11 19 13 12 22 8 24 10 15 22 27 17 15 10 13 18 13
 8 19 15 27 10 12 19 41 10 17 13 15 12 18 13 13 15 21 32 15 16 13 15 12 16
 30 10 19 13 8 36 15 13 13 17 17 18 22 39 30 15 13 10 14 13 12 15 13 16 19
 16 18 10 15 10 15 10 10 10 13 15 13 8 17 14 10 22 22 21 12 14 21 18 13 12
 19 24 13 14 13 30 18 21 13 24 19 31 13 32 13 21 10 10 15 13 13 13 13 13
 16 25 10 13 10 16 10 18 10 28 13 19 29 35 15 22 16 29 14 15 28 8 17 8 35
 13 22 18 10 10 10 15 14 19 16 22 16 10 15 12 25 22 10 10 11 13 22 12 12
 16 12 18 8 8 10 10 15 14 13 12 18 15 18 15 19 22 10 20 24 16 10 15 10 10
 32 8 15 20 10 10 16 39 8 15 16 13 18 15 10 21 35 10 10 16 24 10 15 24 26
 10 35 10 13 16 8 10 10 16 12 16 15 15 11 20 20 18 10 17 20 15 16 19 15 20
 13 18 10 8 22 12 10 13 15 21 15 31 30 12 17 13 19 21 10 13 15 21 12 39 13
 13 10 14 10 19 13 22 10 10 15 19 10 10 11 19 16 10 13 12 13 19 24 12 20
 19 27 31 22 19 10 19 22 16 13 25 16 22 8 15 13 23 19 13 12 13 20 12 10 13
 10 16 13 14 21 15 12 19 10 22 15 17 10 13 21 21 15 8 24 12 12 15 15 10 18
 25 12 15 20 25 13 16 10 12 16 19 15 10 24 12 10 10 15 15 12 30 13 16 22
 13 25 12 10 10 12 15 18 11 19 21 32 28 23 22 8 11 12 18 10 12 10 13 12 10
 10 19 18 21 12 13 15 16 13 10 13]"
6,02f0dab3-4ee5-4c38-a0b8-ae02ed4b06b3,"[17 10 15 10 15 16 0 8 13 10 8 14 10 27 20 13 12 19 13 13 21 10 33 10 23
 17 22 8 10 14 15 22 14 13 13 13 20 11 13 23 14 19 8 8 15 10 19 10 11 13
 13 16 13 38 8 16 28 35 32 26 19 20 23 19 17 21 26 10 29 15 12 13 13 20 31
 13 13 13 17 13 13 10 13 21 13 13 30 13 16 19 14 20 11 16 20 11 14 26 10
 13 18 13 13 13 13 11 11 20 13 34 13 8 32 10 13 13 8 10 13 14 13 26 15 8
 10 13 10 14 10 28 20 14 10 13 17 10 16 13 25 13 19 19 17 16 13 13 14 30
 13 18 21 13 8 10 13 41 13 11 10 22 13 13 21 19 13 12 8 21 10 17 13 26 13
 44 22 14 19 10 17 10 10 10 23 17 11 8 8 8 10 17 24 33 20 20 13 20 13 10
 13 16 23 40 11 13 10 17 19 26 14 16 11 13 13 23 10 24 13 11 29 13 13 15
 16 20 16 13 26 12 10 10 10 13 13 10 14 26 17 22 10 14 8 17 17 8 8 8 11 19
 20 16 34 12 14 13 14 13 10 13 10 32 13 10 10 13 10 8 11 11 13 10 10 16 10
 20 8 8 8 16 33 8 13 10 14 13 20 29 23 18 8 11 22 16 14 8 10 16 35 8 17 15
 18 10 26 16 8 35 32 27 16 17 10 13 20 14 10 34 22 12 19 26 11 20 16 10 13
 8 8 14 10 16 10 18 13 17 11 11 11 20 12 20 13 23 16 10 13 14 13 20 10 8
 13 10 42 11 19 23 13 16 19 32 20 13 23 19 28 13 19 13 20 13 41 13 10 14
 10 11 23 13 8 12 23 17 8 10 17 11 10 14 41 10 31 14 16 14 15 11 8 20 13
 13 10 23 13 14 13 16 12 13 8 35 13 16 10 13 10 33 15 20 14 45 16 16 35 14
 13 17 10 33 16 13 17 15 10 19 29 17 19 30 26 16 10 8 35 24 20 14 10 13 14
 20 13 10 8 10 16 13 13 16 26 10 14 32 17 17 10 19 13 20 13 35 20 10 10 38
 16 13 20 11 13 27 27 17 14 17 8 15 16 32 14 20 10 23 38 8 8 10 22 13 16
 13 33 18 17 8 13]"
7,03fcf274-768a-4a37-932d-50c6ef75cf58,"[2 2 2 2 2 2 2 0 2 15 2 2 2 2 15 2 2 2 2 2 2 2 2 2 2 15 2 15 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 15 2 2 2 15 2 2 2 2 2 2 2 2 2 15
 2 2 2 2 2 2 2 2 15 2 15 2 15 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 15 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2 15 2
 15 2 2 2 2 15 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 15 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 15 15 2 2 2 2 2 2 2 2 2 2
 2 2 2 15 2 2 2 2 2 2 2 15 2 15 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 15 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 15 2 2 2 2 2 15 2 2 2 15 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 15 2 2 2 2 2 15 2 15 2 2 2 2 2 2 2 15 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 15 2]"
8,0410b7f6-509d-4363-9e11-6a4f51ef7425,"[9 6 4 6 19 9 9 4 0 6 4 6 6 6 9 9 4 9 6 9 4 6 9 18 6 9 9 4 6 7 7 16 6 6 9
 9 9 4 18 6 7 6 4 4 4 6 9 6 4 9 6 6 9 6 4 9 6 6 9 9 9 9 9 6 18 7 9 18 9 4
 4 6 9 9 18 9 6 6 4 6 18 6 9 7 9 6 6 9 9 9 6 9 4 9 9 4 6 6 6 9 19 18 9 6 9
 7 7 6 6 6 9 4 9 6 6 6 4 6 9 6 9 9 19 4 6 9 6 4 6 6 9 4 6 9 6 6 21 9 4 6 9
 6 9 9 9 6 6 9 6 4 4 6 4 6 9 6 21 4 6 9 9 9 4 9 6 16 4 7 18 9 21 9 6 9 9 6
 9 6 6 6 6 6 9 9 7 16 4 4 6 9 7 6 6 7 18 9 9 6 6 9 9 4 4 21 18 18 9 9 6 9
 4 9 6 6 6 6 9 7 9 9 9 4 6 9 6 21 6 4 6 6 6 6 6 6 6 9 9 9 6 6 4 6 6 4 4 4
 7 6 21 9 6 4 6 6 7 6 6 9 6 6 9 6 6 6 6 4 4 4 6 6 6 9 6 9 4 4 4 6 6 4 9 6
 6 9 9 9 6 7 4 4 9 9 6 4 18 6 9 4 9 7 4 6 9 9 4 9 9 9 9 6 6 6 9 6 6 7 9 16
 9 9 7 6 9 6 9 4 4 6 6 6 6 7 9 6 4 4 7 21 4 6 9 9 9 6 6 7 9 21 6 4 6 6 6 7
 6 9 9 9 9 6 6 21 18 6 6 21 9 6 6 6 9 18 6 4 18 7 9 9 4 4 9 9 4 6 4 4 6 6
 9 6 9 6 21 6 4 7 4 9 6 6 6 21 6 7 21 9 4 6 4 9 9 9 6 21 6 9 4 6 6 4 6 6 6
 4 6 9 6 6 6 6 9 4 6 9 6 6 9 4 9 6 6 4 18 6 9 6 6 21 7 9 9 6 4 6 9 9 6 6 9
 18 6 6 6 9 18 9 18 9 9 9 9 6 6 6 6 6 9 7 21 6 9 7 7 9 4 4 6 9 4 6 6 9 6 4
 4 6 9 6 6 21 6 7 18 4 9]"
9,044424ba-e4e7-4de8-b88c-ccaf14cf4c59,"[10 12 31 10 8 16 10 21 10 0 10 12 12 10 25 12 8 10 16 12 43 10 12 12 16
 51 12 23 12 28 8 8 16 10 12 10 16 10 16 22 8 10 14 16 33 12 12 10 8 10 16
 12 12 18 10 10 10 16 10 22 35 31 10 22 12 8 40 10 12 16 8 22 12 12 10 10
 35 10 10 12 12 12 12 20 22 10 16 10 12 10 23 25 8 16 10 27 12 22 12 10 8
 12 12 16 12 23 10 10 24 12 10 10 16 10 46 35 23 12 25 12 22 24 8 8 10 12
 12 38 12 12 16 10 10 12 25 10 35 12 10 10 16 12 12 12 22 12 12 10 12 10
 37 25 10 12 12 10 12 14 12 12 38 10 38 22 25 8 16 8 10 23 10 12 18 10 12
 12 24 35 12 12 10 12 12 10 31 10 8 16 12 10 16 30 10 20 18 10 12 33 16 18
 12 57 10 12 16 16 10 16 10 18 21 10 25 30 38 12 12 23 12 10 12 8 16 10 12
 12 10 29 10 28 10 16 12 24 10 35 10 28 29 12 16 10 18 8 8 8 8 12 16 12 10
 8 10 22 8 53 16 10 18 12 12 12 16 12 12 8 20 10 10 10 10 12 10 12 10 10
 10 12 24 44 10 12 30 12 10 10 16 27 8 10 16 12 12 10 12 10 12 8 24 38 10
 10 10 16 10 23 12 25 23 10 38 18 10 12 10 8 16 8 22 18 16 40 37 10 12 14
 8 12 10 16 53 8 25 12 33 10 8 10 38 12 10 10 12 12 22 39 10 12 12 10 12
 12 23 10 24 18 22 16 10 10 10 10 16 18 10 22 10 18 10 12 10 12 12 16 12
 14 12 12 8 8 12 16 8 12 8 16 16 10 12 12 12 10 18 10 33 16 8 16 10 18 22
 18 12 8 12 12 42 12 8 25 52 12 10 10 23 12 10 10 12 10 10 18 33 16 16 12
 12 16 40 10 12 16 12 12 18 16 24 10 28 10 12 10 12 12 37 16 12 12 16 10
 25 18 8 24 35 16 33 10 41 10 10 10 12 10 12 10 10 12 10 35 12 12 10 10 10
 25 35 23 16 16 10 22 10 10 8 51 10 10 10 10 10 12 10 8 10 10 10 18 24 12
 10 8 24 23 12]"
