publicName,rating,Architectonische bezienswaardigheden,Bezienswaardigheden & bijzondere plaatsen,Educatieve locaties,Historische locaties,Historische musea,Kastelen,Kerken & kathedralen,Kindermusea,Kunstgalerieën,Kunstmusea,Militaire musea,Natuurhistorische musea,Specialiteitenmusea,Tuinen,Wetenschapsmusea,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,translationSetId,Visitors,Visual,Culture,Naval,Nature,Tech,Ethnology,small_museum,amsterdam,utrecht,den haag,leiden,arnhem,groningen,rotterdam,limburg,friesland,gelderland,drenthe,kasteel,ZeroToFourYears,FiveToEightYears,NineToTwelveYears,Activity,Audiotour,Childrensparty,Event,Exhibition,Lecture,Other,ScavengerHunt,Tour,ticketprice,zaterdagen,zondagen
Afrika Museum,174 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,af1f674a-f04d-4527-af8c-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,b5023390-ced1-4210-a14c-23c349b2ee15,70000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,10:00-17:00,10:00-17:00
Agrarisch Museum Westerhem,1 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38612c20-29d2-4905-af8d-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1c731866-d25c-489a-b1ea-1e04a1cca554,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0
Airborne Museum at Hartenstein,899 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,c804a952-fafc-41ae-af8e-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,a7e42402-9eb9-4312-abf5-ae09e951e068,120000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,10:00-17:00,10:00-17:00
Allard Pierson,167 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bc2cae4b-6dbf-4392-af8f-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6ed658b1-4ce7-4df9-9472-4b0271d044a3,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,10:00-17:00,10:00-17:00
Amsterdam Pipe Museum,326 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ac61a4c2-53d2-4ce6-af90-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,b5a41500-a10f-418f-8903-6e60d0907060,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12:00-18:00,0
Anne Frank Huis,62.304 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1b0e6f78-7ce9-463a-af91-08d7f60b9c3e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98910334-b730-446f-9b09-a7cf440699f6,1195456.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.5,08:30-22:00,08:30-22:00
Anton Pieck Museum,83 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9845f01b-e51a-423c-af92-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68c00e09-7dd1-4002-a7c5-8aa69d3c589e,22655.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,13:00-16:30,13:00-16:30
De Appel,20 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,817b9d56-3c46-46cd-af93-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,cbebd2e6-4fd8-4bd8-a455-5310d4895828,18675.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0
Luchtvaartmuseum Aviodrome,493 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,b5514b92-dd11-4b0a-af94-08d7f60b9c3e,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3caa2392-510f-4c85-a489-b83e8200ff90,200000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.95,10:00-17:00,10:00-17:00
"BAK, basis voor actuele kunst",41 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,b256822e-73d9-4f21-af95-08d7f60b9c3e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ae32e45b-c9aa-4cc1-ac06-6ddb93c9630b,20000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,13:00-19:00,13:00-19:00
