,$type,pickerTitle,published,name,title,description,image,imageCaption,imageCopyright,museumId,museumName,metaDescription,allowPublish,isVisibleOnWebsite,lastModifiedOn,createdOn,getColor,translationSetId,language,id,created,modified,hasDynamicValueTags
0,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Cobra Museum voor Moderne Kunst - Piepschuimen mannetje ,2020-05-25T01:55:14.634+00:00,Piepschuimen mannetje ,Toen Karel Appel een boor kocht...,"Het 'Piepschuimen mannetje' uit 1967 van Karel Appel heet eigenlijk 'Zonder Titel'. De medewerkers van het Cobra Museum noemen hem liefkozend 'Piepschuimen mannetje' zodat ze niet in de war raken met bijvoorbeeld het 'lopende mannetje' van Appel, dat er ook te zien is. 
### Dankzij de nieuwe boormachine
Appel schilderde het mannetje op het piepschuim binnenwerk van de doos waarin zijn net aangeschafte boormachine zat. Het kunstwerkje is aangekocht uit de collectie van Martijn Sanders, met steun van de BankGiro Loterij.","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '51792e9a-a1b1-4f60-9c20-c30f6710e2cc', 'variantId': None}","Karel Appel, 'Zonder titel' (1967) ",,faacb5cf-eb31-4dd6-afa3-08d7f60b9c3e,Cobra Museum voor Moderne Kunst,"Dit pronkstuk uit het Cobra Museum voor Moderne Kunst heeft als bijnaam het Piepschuimen mannetje. Karel Appel, 'Zonder titel' (1967)  ",True,True,13-07-2020 08:41,23-05-2020 01:55,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#F55757', 'textColor': '#FFFFFF'}",bf982155-1136-40aa-92e1-47575eb45d9f,nl,5c2a86fe-867c-4f6c-defd-08d7febc56cf,2020-05-23T01:55:15.9547254+00:00,2020-07-13 08:41:19.479313400+00:00,False
1,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Chabot Museum - Indrukwekkende brand van Chabot,2020-05-25T01:57:33.894+00:00,Indrukwekkende brand van Chabot,De indrukwekkende brand van Chabot,"Schilder en beeldhouwer Henk Chabot (1894-1949) woonde en werkte in Rotterdam. Tussen de twee wereldoorlogen was hij een toonaangevend expressionistisch kunstenaar. Zijn uitbundig geschilderde landschappen, woedende zeeën en staalkoude winters fascineren nog altijd. 

### Indringend
Net als zijn persoonlijke, indringende schilderijen van boeren, tuinders en dieren. Of van vluchtelingen, onderduikers en gevangenen tijdens de oorlog. Chabots nauwe betrokkenheid bij de gebeurtenissen van zijn tijd weerspiegelt zich weergaloos in één van zijn bekendste werken: Brand van Rotterdam (1940).","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': 'acfb8b93-f0a3-4657-8243-27164a832ad9', 'variantId': None}",Het schilderij Brand van Rotterdam is één van Chabots bekendste werken.,,bc258bc4-0e1f-424f-afa2-08d7f60b9c3e,Chabot Museum,Chabot Museum - De indrukwekkende brand van Chabot,True,True,21-07-2020 07:15,23-05-2020 01:57,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#FE4D00', 'textColor': '#FFFFFF'}",2ca70321-b06d-440e-b7b4-3d8f3ab0fbab,nl,8e884f25-f266-4a86-defe-08d7febc56cf,2020-05-23T01:57:42.0867549+00:00,2020-07-21 07:15:48.999070100+00:00,False
2,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Botanische Tuin TU Delft - Een magische geluksbrenger,2020-05-25T01:59:07.834+00:00,Een magische geluksbrenger,De Drimys winteri: een magische geluksbrenger,"Voor de Chileense indianen, de Mapuche, is de *Drimys winteri* al eeuwenlang een symbool van vrede. Deze boom werd in de buurt van huizen geplant als geluksbrenger en beschermer. De meeste vredesverdragen tussen indianenvolken werden onder deze magische boom getekend. Benieuwd hoe hij eruit ziet? Kom tijdens de Nationale Museumweek in de kassen van Botanische Tuin TU Delft kijken of hij al in bloei staat. ","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '55c88063-1e58-4b79-989e-0fc40777ea2d', 'variantId': None}","Voor de Chileense indianen, de Mapuche, is de Drimys winteri een symbool van vrede. ",,8446d1fa-515c-480a-af9f-08d7f60b9c3e,Botanische Tuin TU Delft,De Drimys winteri uit de collectie van de Botanische Tuin TU Delft. Voor de Chileense indianen is deze plant een symbool van vrede. ,True,True,23-06-2020 12:34,23-05-2020 01:59,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#13E4C1', 'textColor': '#241F1C'}",872cc64f-69bd-4663-84ca-ad96d1104c95,nl,6705bf38-afd5-4e38-df00-08d7febc56cf,2020-05-23T01:59:09.4258089+00:00,2020-06-23 12:34:42.684840500+00:00,False
3,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Botanische Tuin De Kruidhof - Help de bij,2020-05-25T02:14:05.321+00:00,Help de bij,Bijenhotels in botanische tuin De Kruidhof,"Bijen dreigen uit te sterven en vooral de wilde bijen hebben het moeilijk. Botanische tuin De Kruidhof is de letterlijke landingsplek van het project Silence of the Bees. In De Kruidhof zijn vijf levensgrote bijenhotels ingericht. Het zijn plekken waar solitaire bijen hun nesten kunnen maken. De bijenhotelshebben allemaal een andere vorm, kleur en afmeting. Genoeg inspiratie, zodat ook jij bijen kunt helpen!","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '4939e77c-201f-45a5-8138-9057eb86a10e', 'variantId': None}",Met het project Silence of the Bees vraagt De Kruidhof aandacht voor de bij. ,,3a90d705-427e-47f9-af9e-08d7f60b9c3e,Botanische Tuin De Kruidhof,Botanische Tuin De Kruidhof - Silence of the Bees,True,True,23-06-2020 11:49,23-05-2020 02:14,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#0CF23F', 'textColor': '#241F1C'}",931da768-27a8-45b7-be6f-00ad6566d260,nl,89d6cf76-d2c9-4363-df01-08d7febc56cf,2020-05-23T02:14:06.5134353+00:00,2020-06-23 11:49:40.695988300+00:00,False
4,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Beeld en Geluid - Hallo Meneer de Uil!,2020-05-25T02:14:49.758+00:00,Hallo Meneer de Uil!,Voor alle lieve kijkbuiskinderen ,"Op 29 september 1968 werd de zin 'Dag lieve kijkbuiskinderen!' voor het eerst uitgesproken door meneer de Uil in de Fabeltjeskrant. 

Als verteller van de verhalen uit het grote dierenbos is hij een van de meest bekende karakters van de Nederlandse televisie geworden. Terecht een pronkstuk uit de collectie van Beeld en Geluid! In 2005 werd de Fabeltjeskrant door het publiek gekozen tot het beste kinderprogramma van de 20ste eeuw. En nu maar knus naar jullie warme nestjes, en denk erom: oogjes dicht en snaveltjes toe. Slaap lekker!","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '1bed5970-c9a7-482e-bf68-bf6dd6679cb2', 'variantId': None}",Meneer de Uil verscheen voor het eerst op tv in 1968.,,00a12e8d-f885-4a76-b0af-08d7f60b9c3e,Beeld en Geluid,Beeld en Geluid - Meneer de Uil! uit de fabeltjeskrant is het pronkstuk van Beeld en Geluid,True,True,08-07-2020 11:22,23-05-2020 02:14,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#4A2F74', 'textColor': '#FFFFFF'}",e8ebce2e-1869-42ef-8850-08bb688ab054,nl,c90d828a-672c-41c4-df02-08d7febc56cf,2020-05-23T02:14:50.9143639+00:00,2020-07-08 11:22:58.175305100+00:00,False
5,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Batavialand - Tabaksdozen,2020-05-25T02:15:30.169+00:00,Tabaksdozen,Tabaksdozen van het grote scheepskerkhof,"Deze drie koperen tabaksdozen zijn gevonden in wrakken van schepen die zijn vergaan in de vroegere Zuiderzee. Door de inpoldering zijn meer dan 400 scheepswrakken in de bodem bewaard waren gebleven - Flevoland is 's werelds grootste scheepskerkhof op het droge! 

### Leven aan boord
De spullen uit deze wrakken vertellen ons over het vroegere leven aan boord. In de 17e, 18e en 19e eeuw was pijp roken onder mannen heel gewoon, ook aan boord. Vaak waren hun tabaksdozen versierd met graveringen: een politiek symbool, een Bijbelse scene of gewoon een tafereel uit het dagelijks leven met een rijmpje. Al deze variaties zie je terug op deze tabaksdozen. De tabaksdozen zijn onderdeel van de maritieme rijkscollectie, die sinds 2016 is ondergebracht bij Batavialand in Lelystad.","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '654664b1-f741-4841-8c1a-5326c43b1d9d', 'variantId': None}",Drie koperen tabaksdozen,,abfce20a-a3bc-456d-b0fa-08d7f60b9c3e,Batavialand,Bezoek Batavialand. Je vindt er tabaksdozen van het grote scheepskerkhof. Deze vertellen je over het vroegere leven aan boord.,True,True,10-07-2020 08:32,23-05-2020 02:15,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#3C68EB', 'textColor': '#FFFFFF'}",968716d2-6048-4928-9977-ed5e98f966b5,nl,6b3ba155-cc63-4d18-df03-08d7febc56cf,2020-05-23T02:15:31.3333025+00:00,2020-07-10 08:32:34.629203900+00:00,False
6,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Amsterdam Pipe Museum - Tabakspijp,2020-05-25T02:16:09.26+00:00,Tabakspijp,Een tabakspijp met status,"Deze pijpenkop is maar liefst 22 cm hoog! Dat is zeker niet standaard. Deze pijp is rond 1815 gemaakt van meerschuim, toen een nieuw en populair materiaal om pijpen van te maken. 

### Pijp voor een edelman
Aan het deksel, in de vorm van een helm, is te zien is het een pijp was van een militair. Ook de versiering met kanonskogels, vaandels en lansen wijst daarop. Deze uitzonderlijke pijp is gemaakt voor een Georgische edelman die generaal was in het Keizerlijke leger van de Tsaar. Generaals en andere hoge officieren lieten grote, rijk versierde pijpen maken om hun hoge status te tonen. De generaalspijp staat in een aparte vitrine in het museum.","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': 'f1588581-2666-4451-95c1-fa20b2f45496', 'variantId': None}","Een tabakspijp uit 1815, gemaakt van meerschuim",,ac61a4c2-53d2-4ce6-af90-08d7f60b9c3e,Amsterdam Pipe Museum,Het pronkstuk van het Amsterdam Pipe Museum vind je op museum.nl,True,True,16-07-2020 12:03,23-05-2020 02:16,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#FFD84D', 'textColor': '#241F1C'}",dd00f1cd-7866-4274-9a9a-3c87b8cac040,nl,aff6dde1-c352-4dd4-df04-08d7febc56cf,2020-05-23T02:16:10.5232918+00:00,2020-07-16 12:03:13.976388500+00:00,False
7,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Allard Pierson - Oudste schilderij van Palmyra,2020-05-25T02:17:35.795+00:00,Oudste schilderij van Palmyra,Het oudste schilderij van Palmyra,"Palmyra, de Syrische 'stad van de duizend zuilen', heeft altijd tot de verbeelding gesproken van archeologen, kunstenaars en reizigers. Er zijn in de loop der eeuwen meerdere tekeningen en schilderijen van gemaakt, maar nooit zo groots en gedetailleerd als het panorama dat Gerard Hofstede van Essen schilderde. 

### Herontdekt
Hij reisde in 1691 met een gezelschap naar de ruïnes van de Syrische stad die in 1678 was herontdekt door Westerse kooplieden. Ter plekke maakte de schilder een aantal schetsen die hij verder uitwerkte bij de Nederlandse consul in Aleppo. In 1743 kwam het schilderij in het bezit van het Athenaeum Illustre, de voorloper van de Universiteit van Amsterdam. 

*In 2019 is het panorama live voor bezoekers gerestaureerd.*","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': 'af3a732e-d50a-4c8c-8889-ca0e44a622a9', 'variantId': None}","Het ruim vier meter brede panorama van Palmyra, geschilderd door Gerard Hofstede van Essen in 1691.",,bc2cae4b-6dbf-4392-af8f-08d7f60b9c3e,Allard Pierson,Allard Pierson - Het oudste schilderij van Palmyra,True,True,21-07-2020 07:16,23-05-2020 02:17,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#FFD84D', 'textColor': '#241F1C'}",658fe0d5-b398-4029-926d-ec575a774925,nl,250ed66b-eddf-4a27-df06-08d7febc56cf,2020-05-23T02:17:37.0381743+00:00,2020-07-21 07:16:24.619594700+00:00,False
8,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",Afrika Museum - Adellijk goud uit Sulawesi,2020-05-25T02:18:22.923+00:00,Adellijk goud uit Sulawesi,Adellijk goud uit Sulawesi,"Deze 19e-eeuwse armband is een erfstuk van een adellijke familie van Sulawesi, Indonesi. De Toraja zien goud als symbool van de zon en van vernieuwing en wedergeboorte. Armbanden als deze zijn dan ook aanwezig bij dodenrituelen. 

De harskern is bedekt met een dunne plaat goud waarin motieven gedreven zijn. De cilinders, met op de punten rode glaskralen, zijn aan elkaar gevouwen en niet gesoldeerd.","{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '41b8e8ad-1049-414b-aabd-ced535a0b80c', 'variantId': None}",De 19e-eeuwse gouden armband van een adelijke familie.,,af1f674a-f04d-4527-af8c-08d7f60b9c3e,Afrika Museum,Afrika Museum - Adellijk goud uit Sulawesi,True,True,19-06-2020 10:06,23-05-2020 02:18,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#AFF1D4', 'textColor': '#241F1C'}",b9d74a30-0f2e-48d0-8bca-a5a2877a35c3,nl,1ba9da0e-61f3-4e53-df07-08d7febc56cf,2020-05-23T02:18:24.1038816+00:00,2020-06-19 10:06:41.173882700+00:00,False
9,"Museumvereniging.Persistent.Domain.Items.Showpiece, Museumvereniging.Persistent.Domain",ABC Architectuurcentrum Haarlem - Gouden maquette,2020-05-25T02:18:56.828+00:00,Gouden maquette,'Gouden' maquette van Haarlem,Kom 'm bekijken: de grote maquette van Haarlem Centrum. Het gouden pronkstuk van ABC Haarlem.,"{'$type': 'Q.Cms.Core.Domain.Atoms.Image, Q.Cms.Core.Domain', 'id': '3bd5c813-2a55-4b13-9281-a4e126349b0a', 'variantId': None}",Het gouden pronkstuk,,15c93d1b-a3a0-49ff-b0ee-08d7f60b9c3e,ABC Architectuurcentrum Haarlem,Kom 'm bekijken: de grote maquette van Haarlem Centrum. Het gouden pronkstuk van ABC Haarlem.,True,True,29-07-2020 07:06,23-05-2020 02:18,"{'$type': 'Museumvereniging.Persistent.Domain.Models.Color, Museumvereniging.Persistent.Domain', 'backgroundColor': '#FFA434', 'textColor': '#241F1C'}",94f66a94-eb0a-4dab-a3d8-b638bdb878c3,nl,2aff9755-9970-41a7-df08-08d7febc56cf,2020-05-23T02:18:58.0766581+00:00,2020-07-29 07:06:23.405772+00:00,False
