,publicName,translationSetId,rating,architectonic,educative,historic_location,historic_museum,castles,churches,children,art_galleries,art_museum,military,specialty,gardens,science,museumId,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,visual,culture,naval,nature,tech,ethnology,small_museum,zero_four,five_eight,nine_twelve,activity,audiotour,exhibition,lecture,scavenger,library,openair,parking,weelchair,disabled,trainstation,restaurant
0,Museum Dokkum,00965172-fde6-42f1-8dae-116cae5ec572,39.0,0,0,0,1,0,0,0,0,0,0,0,0,0,63b26409-7572-41cc-b04a-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1,Museum Prinsenhof Delft,00aa87d7-6034-4283-9a4c-3b9589c30fb4,583.0,0,0,0,0,0,0,0,0,0,0,1,0,0,436fe553-39fe-4b0d-b074-08d7f60b9c3e,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2,Stedelijk Museum Amsterdam,01ab8bee-401f-4c85-a742-c2198fbcef28,2.929,0,0,0,0,0,0,0,0,1,0,0,0,0,a8de79ec-5791-4375-b12e-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
3,Streekmuseum Schippersbeurs,01eda7b1-8ad2-4762-973e-7666d557ef73,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,42f4ba75-2f11-4cc2-b13c-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Tropenmuseum Junior,029464f3-265b-4b69-a71d-cdd346b53c34,1.128,0,0,0,1,0,0,0,0,0,0,0,0,0,492d8b8e-3dc6-4b8d-b14b-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
5,Museum Vlaardingen,02d25c0f-f4db-4d00-a056-c35ee076964e,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,4d25db0d-ca43-47e3-b089-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
6,Botanische Tuinen Utrecht,02f0dab3-4ee5-4c38-a0b8-ae02ed4b06b3,248.0,0,0,0,0,0,0,0,0,0,0,0,1,0,58ac5828-6959-4fdc-afa0-08d7f60b9c3e,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
7,Het Nieuwe Schoenenmuseum,03fcf274-768a-4a37-932d-50c6ef75cf58,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,2bca9cc0-5265-4183-b0d9-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,De Casteelse Poort,0410b7f6-509d-4363-9e11-6a4f51ef7425,26.0,0,0,0,0,0,0,0,0,0,0,1,0,0,fe674645-5967-415c-afe8-08d7f60b9c3e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
9,Honig Breethuis,044424ba-e4e7-4de8-b88c-ccaf14cf4c59,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,f1b16af9-bfc8-4ecb-b16f-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
10,Stadsmuseum Woerden,04d5018c-2c05-4c07-ba5d-69955cc920b6,56.0,0,0,0,0,0,0,0,0,0,0,1,0,0,f7d36577-9e03-4667-b0e7-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,Kasteel Huis Bergh,04f3f792-3b2e-4c9a-af48-584f4dd61bfe,124.0,0,0,0,0,1,0,0,0,0,0,0,0,0,8370d2ff-6850-40b4-b004-08d7f60b9c3e,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1
12,"Museum De Domijnen, afdeling Hedendaagse Kunst",053014de-f18f-45e3-8dc6-c3f907646311,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1c0e1759-d173-42ef-afad-08d7f60b9c3e,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,Openluchtmuseum de Locht,057ec8d4-db1e-4b3a-a28c-3e5af7eb18b3,68.0,0,0,0,0,0,0,0,0,0,0,1,0,0,17cdb3b6-316a-4010-b040-08d7f60b9c3e,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
14,Museum Schokland,05a94d26-c8df-4105-8df5-67f1acd7e8c5,106.0,0,0,0,0,0,0,0,0,0,0,1,0,0,75e5d32f-27cd-43b7-b078-08d7f60b9c3e,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
15,Museum Opsterlân,06a6b9d8-2883-4629-9c92-10107f3fd709,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,095017b5-c524-4a71-b072-08d7f60b9c3e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
